keys,en
MENU_EYEBROW,"A Volume of Lost Voices, newly Set Forth"
MENU_TITLE,THE LAST VERSE
MENU_CHAPTER,"Shakespeare
and London Times"
CHAPTER_ONE_EYEBROW,"The First Chapter, called"
CHAPTER_ONE_SETTING,BEING A TRUE ACCOUNT OF A CITY OUTSIDE TIME
MENU_DESCRIPTION,"Thou wak’st where borrow’d verses lie asleep,
In rooms a dead man’s secrets still would keep.
The city sings, the bridge begins to sway;
Below, the plague; above, a night of prey.
Through fog and cradles, stars and iron rail,
One door is left before thy lamp shall fail —
Wilt thou escape the London of his play?"
MENU_NOTICE,"Imprinted at London, in the Yeare of Our Lord 1606"
STATUS_NEW,NOT STARTED
STATUS_PROGRESS,ACT I  ·  THE UNWRITTEN ROOM   —   LETTERS %d / 4
STATUS_COMPLETE,LONDON IS FALLING  ·  CHAPTER COMPLETE
LOCKED_EYEBROW,Chapter %s
LOCKED_TITLE,???
LOCKED_STATUS,AS YET UNWRITTEN
LOCKED_BODY,This leaf is blank. Its ink hath not yet dried.
PAGER,~ Leaf %d of %d ~
BROWSE_HINT,←  →  Browse chapters     ·     Enter  Select
BEGIN,Begin the Tale
RESUME,Resume the Tale
NEW_RUN,Begin Anew
SETTINGS,Settings
QUIT,Close the Volume
BACK,Back
CANCEL,Keep My Progress
RESTART_TITLE,Begin the Tale Anew?
RESTART_BODY,"This replaces your chapter progress, including letters, notes, and hints. Your settings will be kept."
RESTART_CONFIRM,Restart the Chapter
PAUSE_EYEBROW,The Stage Will Wait
PAUSED,Intermission
SAVE_MENU,Save & Return to the Title
SAVE_OK,Progress saved
SAVE_FAILED,Could not save. Your progress is still in memory; please retry before quitting.
SAVE_RECOVERED,Recovered your progress from the last good backup.
SAVE_DAMAGED,The save is damaged or from an older build. The chapter will start fresh.
SETTINGS_FAILED,Settings could not be saved to disk.
SAVE_SETTINGS,Apply & Return
SETTING_SENSITIVITY,Mouse sensitivity
SETTING_FOV,Field of view
SETTING_MUSIC,Music volume
SETTING_EFFECTS,Voice & effects volume
SETTING_INVERT,Invert vertical mouse look
SETTING_FULLSCREEN,Fullscreen
SETTING_DISTORTION,Visual distortion
SETTING_COMFORT,"Visual distortion controls grain, warping, look smear, and torn scanlines; set it to 0 for a clean image. No head bob, bright flashes, or timed puzzles. The fall of London Bridge contains one sudden scare and a scripted backwards fall."
HUD_CHAPTER,ACT I  /  THE UNWRITTEN ROOM
HUD_HOLDING,IN HAND:  %s
PROMPT_LOOK,[Right click]  Look closer
PROMPT_READ,[E]  Read %s
PROMPT_TAKE,[E]  Take %s
PROMPT_PICK,[E]  Pick up %s
PROMPT_PLACE,[E]  Put %s here
